student_id,full name,enrollment_date,student_status,avg_score,graduation_year,faculty,source_system
STU001081,Попов Егор Сергеевна,2023,в академе,"4,34",2029,Юриспруденция,DeanOffice
STU000657,Лебедев Анна Алексеевич,05/16/2020,выпущен,3.56,2025,Экономика,LMS
STU001992,Попов Дарья Павловна,2020-09-23,выпущен,"4,28",2025,Физика,DeanOffice
STU001509,Смирнов Никита Михайлович,16.06.2023,выпущен,3.30,2028,Информатика,DeanOffice
STU001770,Соколов Ольга Ивановна,11/08/2024,академ,4.57,2029,Менеджмент,DeanOffice
STU001194,Лебедев Алексей Дмитриевна,27.10.2020,выпущен,"4,60",2025,История,DeanOffice
STU001572,Кузнецов Дарья Сергеевна,01.09.2023,выпущен,3.87,2029,Информатика,LMS
STU000478,Козлов Татьяна Дмитриевич,2024-12-13,выпущен,"3,17",2028,Юриспруденция,LMS
STU001719,Козлов Мария Михайловна  ,16.11.2023,graduated,4.99,2029,Математика,1C
STU002344,Смирнов Егор Павлович,22.04.2024,graduated,3.90,2030,Менеджмент,LMS
STU001045,Смирнов Алина Михайлович,12/07/2021,выпущен,4.00,2027,История,DeanOffice
STU001181,Попов Алина Алексеевна,12.05.2024,suspended,4.92,2028,Экономика,DeanOffice
STU000099,Козлов Егор Михайловна,2021-07-11,ОТЧИСЛЕН,3.35,2025,История,1C
STU002289,Смирнов Павел Алексеевна  ,12.10.2024,отчислен,"3,22",2029,Менеджмент,LMS
STU000418,Кузнецов Дарья Ивановна  ,2023-03-17,обучается,,2029,Экономика,LMS
STU002245,Козлов Егор Алексеевич,10/09/2021,ВЫПУЩЕН,"4,92",2027,Экономика,LMS
,Петров Ольга Алексеевна,2023,УЧИТСЯ,4.52,2027,Лингвистика,DeanOffice
STU000717,Соколов Алексей Ивановна,05/01/2023,отчислен,3.38,2027,Информатика,LMS
STU002399,Петров Дарья Ивановна,2020,выпущен,3.26,2025,История,LMS
STU002299,Попов Алина Михайловна,04/28/2020,Учится,4.41,2024,История,DeanOffice
STU001486,Козлов Алина Павлович,09/21/2020,ОТЧИСЛЕН,,2026,Физика,DeanOffice
STU000211,Попов Дмитрий Алексеевна,2023-03-22,выпущен,3.86,2028,Юриспруденция,DeanOffice
,Попов Татьяна Алексеевич,04/07/2020,отчислен,4.70,2026,Юриспруденция,LMS
STU000053,Петров Елена Дмитриевич,03/01/2022,академ,"3,56",2028,Юриспруденция,DeanOffice
STU000301,Кузнецов Никита Сергеевич,09/02/2020,выпущен,,2026,Лингвистика,DeanOffice
STU002022,Попов Егор Дмитриевич,07.01.2024,graduated,4.10,2029,Математика,1C
STU000932,Козлов Дмитрий Ивановна,04/02/2022,отчислен,3.57,2027,Информатика,LMS
,Лебедев Дарья Сергеевна,07/13/2022,обучается,3.99,2027,Лингвистика,LMS
STU002374,Козлов Павел Михайлович,2021-04-21,выпущен,4.55,2026,Математика,LMS
STU001046,Петров Татьяна Сергеевич,2020-08-16,выпущен,4.16,2026,Менеджмент,LMS
STU002155,Козлов Егор Дмитриевна,19.04.2021,выпущен,"3,53",2025,Физика,LMS
STU001865,Козлов Алексей Дмитриевич  ,2020,выпущен,"4,15",2025,Информатика,1C
STU000988,Козлов Егор Павлович,08/16/2021,выпущен,2.93,2025,Менеджмент,LMS
STU002002,Соколов Сергей Алексеевич,2023-07-07,graduated,"4,08",2027,Юриспруденция,LMS
STU001966,Кузнецов Иван Дмитриевна,2022,выпущен,"4,61",2027,История,1C
STU001054,Иванов Елена Дмитриевна,03.06.2024,Учится,3.35,2029,Юриспруденция,1C
STU002246,Соколов Татьяна Павлович,01.08.2023,выпущен,3.14,2027,Физика,DeanOffice
,Петров Михаил Иванович,09.09.2022,ВЫПУЩЕН,"3,55",2026,Юриспруденция,1C
STU000236,Смирнов Анна Павлович,2024-09-23,отчислен,3.52,2030,Информатика,DeanOffice
STU001980,Козлов Михаил Дмитриевич,2023-08-19,ВЫПУЩЕН,3.49,2029,Экономика,LMS
STU000639,Соколов Дарья Дмитриевич,08/01/2020,выпущен,4.43,2024,Менеджмент,LMS
STU001064,Лебедев Виктория Михайлович  ,03/27/2021,graduated,"4,91",2025,История,DeanOffice
STU000253,Козлов Алина Михайловна,05/28/2022,отчислен,3.53,2026,Юриспруденция,DeanOffice
,Иванов Михаил Павлович,21.12.2022,SUSPENDED,3.35,2026,Юриспруденция,1C
STU000680,Иванов Ольга Михайловна,20.06.2021,graduated,,2025,Лингвистика,DeanOffice
STU000630,Соколов Никита Сергеевич,2022-11-06,отчислен,"4,24",2027,Математика,1C
STU001759,Соколов Виктория Павлович,2021,выпущен,3.74,2025,Математика,1C
STU000765,Смирнов Виктория Сергеевич,2022,в академе,3.66,2026,Лингвистика,LMS
STU002239,Смирнов Сергей Иванович,2021-12-08,graduated,"4,90",2026,Лингвистика,LMS
STU001226,Кузнецов Сергей Сергеевна,2024-06-27,академ,"3,19",2029,Информатика,1C
STU002074,Петров Дарья Михайлович,05/20/2024,отчислен,"3,88",2029,История,DeanOffice
STU002002,Соколов Сергей Алексеевич,25.05.2023,graduated,4.33,2027,Лингвистика,DeanOffice
STU001367,Смирнов Егор Павлович  ,2020,обучается,,2024,Информатика,DeanOffice
STU000298,Лебедев Сергей Алексеевна,2023-03-07,выпущен,2.86,2028,Экономика,DeanOffice
STU001877,Соколов Ольга Алексеевич,2022,выпущен,"3,92",2027,История,DeanOffice
STU000905,Иванов Татьяна Михайлович,09/02/2023,выпущен,"3,32",2027,Лингвистика,DeanOffice
STU000022,Попов Татьяна Иванович,2020-01-13,выпущен,4.65,2025,История,1C
STU000252,Попов Дмитрий Сергеевна  ,04/07/2021,отчислен,4.47,2025,История,DeanOffice
STU000934,Попов Иван Дмитриевна,05/17/2022,отчислен,3.59,2028,Юриспруденция,DeanOffice
STU000819,Петров Мария Алексеевна,21.05.2023,graduated,4.85,2029,Информатика,LMS
STU000981,Смирнов Дмитрий Дмитриевна,27.07.2022,отчислен,4.47,2026,Информатика,1C
STU002122,Кузнецов Анна Алексеевна,08.08.2020,graduated,,2025,Физика,LMS
STU000821,Козлов Елена Дмитриевич,2020,Учится,"3,32",2026,История,1C
STU002032,Соколов Елена Сергеевич,14.05.2024,В АКАДЕМЕ,3.28,2030,История,1C
STU001892,Козлов Виктория Алексеевна,26.08.2020,выпущен,,2025,Лингвистика,DeanOffice
STU000909,Козлов Дарья Павлович,2023-07-26,выпущен,4.32,2027,Экономика,LMS
STU001462,Петров Виктория Дмитриевич,08/28/2024,В АКАДЕМЕ,4.23,2029,История,1C
STU001939,Иванов Алексей Сергеевич,16.09.2020,отчислен,4.80,2026,Физика,DeanOffice
STU001232,Козлов Елена Ивановна,20.04.2022,выпущен,3.27,2027,Информатика,1C
STU001104,Лебедев Анна Михайловна,02/11/2022,выпущен,"4,52",2026,Информатика,LMS
STU002182,Попов Елена Алексеевич  ,20.08.2021,suspended,"3,80",2025,Лингвистика,LMS
STU001966,Кузнецов Иван Дмитриевна,01/06/2022,обучается,"4,50",2027,Физика,LMS
STU001851,Соколов Алексей Алексеевна,2022-11-11,отчислен,3.79,2028,Физика,DeanOffice
STU001165,Попов Мария Сергеевич,2022,выпущен,3.75,2028,Менеджмент,LMS
STU001436,Смирнов Ольга Иванович  ,04/18/2023,ВЫПУЩЕН,4.81,2029,Физика,1C
STU001081,Попов Егор Сергеевна,2023,выпущен,"4,14",2029,Информатика,1C
STU001433,Лебедев Михаил Алексеевич,04.06.2023,отчислен,3.47,2028,Менеджмент,LMS
STU000850,Петров Мария Алексеевна,21.10.2022,ОТЧИСЛЕН,"3,87",2027,Юриспруденция,DeanOffice
STU001845,Петров Михаил Сергеевич  ,2021,enrolled,3.64,2025,Менеджмент,1C
,Лебедев Иван Павлович,2023-03-20,suspended,3.35,2028,Лингвистика,LMS
STU002327,Иванов Алексей Михайловна,05.09.2023,обучается,,2027,Лингвистика,DeanOffice
STU000072,Соколов Ольга Алексеевна,02.12.2023,выпущен,"4,41",2027,Информатика,LMS
STU001000,Иванов Ольга Павлович  ,12/18/2024,выпущен,,2028,Менеджмент,LMS
STU002291,Козлов Алина Дмитриевна,2022-09-02,выпущен,"3,90",2028,Экономика,DeanOffice
,Попов Алексей Дмитриевич,2020-07-06,выпущен,4.01,2024,Математика,1C
STU001633,Попов Егор Алексеевич,09/13/2022,отчислен,,2027,Физика,DeanOffice
STU001770,Соколов Ольга Ивановна,2024-06-09,отчислен,4.42,2029,Лингвистика,1C
STU000991,Иванов Виктория Павлович  ,27.02.2023,выпущен,4.54,2029,Математика,DeanOffice
STU000267,Кузнецов Татьяна Алексеевич,20.08.2023,выпущен,4.56,2029,Информатика,1C
STU001845,Петров Михаил Сергеевич,03/12/2021,обучается,3.58,2025,Математика,DeanOffice
STU001360,Иванов Виктория Павловна,05/16/2022,Учится,3.06,2027,Менеджмент,1C
STU002093,Попов Татьяна Дмитриевич,05/12/2022,отчислен,4.51,2027,Лингвистика,DeanOffice
STU001691,Иванов Елена Михайлович,2021,выпущен,"4,77",2027,История,LMS
STU000328,Козлов Мария Алексеевич,09.01.2024,выпущен,5.00,2028,Юриспруденция,DeanOffice
STU000245,Соколов Сергей Иванович,2020-10-19,выпущен,4.46,2025,Физика,1C
STU002215,Кузнецов Иван Алексеевна  ,02.11.2020,в академе,"4,31",2025,Информатика,LMS
STU001029,Кузнецов Егор Сергеевич,07/22/2020,выпущен,"4,48",2024,Экономика,DeanOffice
STU001332,Попов Татьяна Дмитриевич,11.10.2023,выпущен,4.40,2027,Юриспруденция,1C
STU001367,Смирнов Егор Павлович,01.06.2020,отчислен,4.22,2024,Менеджмент,1C
STU000825,Иванов Михаил Михайловна,11/24/2020,GRADUATED,4.34,2025,Юриспруденция,DeanOffice
STU001219,Петров Анна Павловна,2024-08-26,suspended,3.86,2030,Лингвистика,LMS
STU000246,Лебедев Елена Сергеевна,2024-08-28,обучается,,2028,Менеджмент,1C
STU000236,Смирнов Анна Павлович,04.06.2024,выпущен,,2030,Менеджмент,LMS
STU000209,Иванов Ольга Павлович,09/05/2022,ВЫПУЩЕН,"4,38",2026,Юриспруденция,DeanOffice
STU002203,Иванов Татьяна Иванович,05/07/2024,ВЫПУЩЕН,4.43,2029,Менеджмент,LMS
STU001408,Соколов Михаил Сергеевич,28.06.2021,выпущен,"4,15",2027,Физика,DeanOffice
STU001384,Кузнецов Ольга Алексеевич,2020-10-24,академ,3.37,2026,Информатика,1C
STU000546,Кузнецов Елена Алексеевич,2024,выпущен,"4,11",2029,Лингвистика,DeanOffice
STU001878,Смирнов Дмитрий Дмитриевич,02.03.2021,выпущен,3.83,2026,Информатика,LMS
STU000250,Иванов Иван Павловна,11.10.2023,выпущен,"4,45",2028,Юриспруденция,1C
STU002236,Лебедев Анна Алексеевич,04/25/2021,отчислен,3.98,2025,История,LMS
STU000520,Петров Анна Алексеевна,2022-03-11,Учится,4.78,2028,Информатика,1C
STU000672,Лебедев Ольга Дмитриевна,2020-11-02,в академе,"3,33",2024,Экономика,DeanOffice
STU001952,Иванов Павел Алексеевна,2020-01-04,suspended,3.19,2025,Менеджмент,LMS
STU001400,Попов Сергей Алексеевич  ,2022-02-27,выпущен,3.07,2027,Физика,LMS
STU001344,Смирнов Сергей Алексеевич,2021-11-24,отчислен,"3,82",2027,Математика,1C
STU002114,Лебедев Мария Ивановна,25.09.2023,выпущен,"4,87",2028,Лингвистика,DeanOffice
STU002223,Козлов Павел Алексеевна,23.07.2024,ВЫПУЩЕН,4.49,2030,Математика,DeanOffice
STU000209,Иванов Ольга Павлович,2022,выпущен,"4,78",2026,Экономика,DeanOffice
STU000449,Смирнов Дмитрий Иванович,2021,ВЫПУЩЕН,4.04,2027,Экономика,1C
STU000639,Соколов Дарья Дмитриевич,24.06.2020,ACTIVE,4.21,2024,Менеджмент,LMS
STU001360,Иванов Виктория Павловна,2022,ACTIVE,3.42,2027,Физика,DeanOffice
STU001708,Лебедев Иван Дмитриевич,08/07/2023,УЧИТСЯ,3.07,2028,Физика,LMS
STU001448,Попов Елена Дмитриевич,02/13/2024,обучается,"4,77",2028,Экономика,DeanOffice
STU001835,Соколов Никита Дмитриевна,2022,выпущен,3.17,2027,История,1C
STU001546,Лебедев Елена Алексеевич,2021-02-09,graduated,,2026,Экономика,1C
STU001834,Попов Анна Алексеевич,2024-03-07,выпущен,"3,95",2028,Лингвистика,LMS
STU001589,Попов Мария Павлович,2022-01-18,ВЫПУЩЕН,3.68,2028,Юриспруденция,LMS
STU000726,Козлов Ольга Дмитриевич,2020-10-04,Учится,3.20,2025,Менеджмент,LMS
STU001869,Козлов Виктория Алексеевна,2023-07-04,выпущен,4.39,2029,Юриспруденция,DeanOffice
STU000301,Кузнецов Никита Сергеевич,2020-09-28,ВЫПУЩЕН,3.92,2026,Менеджмент,DeanOffice
STU001268,Петров Сергей Ивановна,10/24/2020,выпущен,4.74,2025,Математика,DeanOffice
STU000657,Лебедев Анна Алексеевич,26.08.2020,отчислен,3.14,2025,Информатика,DeanOffice
STU000370,Иванов Иван Михайлович  ,2023,выпущен,4.18,2029,Лингвистика,DeanOffice
STU000198,Кузнецов Павел Сергеевич  ,21.05.2021,ВЫПУЩЕН,"3,42",2025,Математика,DeanOffice
STU001205,Попов Татьяна Алексеевна,10/03/2024,graduated,3.16,2030,Информатика,DeanOffice
STU000876,Попов Анна Дмитриевна,11/14/2023,graduated,3.96,2028,Математика,LMS
STU000505,Кузнецов Мария Алексеевна  ,05/28/2023,выпущен,3.84,2029,История,LMS
STU002038,Соколов Мария Михайловна,2022-05-04,ОТЧИСЛЕН,3.16,2026,Юриспруденция,LMS
STU001754,Козлов Дмитрий Алексеевна  ,2021,suspended,2.96,2025,История,LMS
STU001025,Петров Алексей Дмитриевич,23.05.2022,ОТЧИСЛЕН,3.82,2026,История,LMS
STU001249,Иванов Иван Дмитриевна,2021-11-14,выпущен,,2027,Математика,DeanOffice
STU000275,Лебедев Алина Сергеевич,20.10.2024,выпущен,3.75,2028,Лингвистика,LMS
STU001044,Кузнецов Дмитрий Михайловна  ,28.12.2020,выпущен,"4,13",2024,Менеджмент,1C
STU001436,Смирнов Ольга Иванович,2023-02-22,академ,4.90,2029,Математика,1C
STU000141,Лебедев Сергей Алексеевич,2021-12-14,ACTIVE,3.38,2026,История,DeanOffice
STU001798,Кузнецов Алина Сергеевна,03.09.2023,GRADUATED,,2027,Физика,LMS
STU000361,Соколов Егор Алексеевна,2023-08-20,graduated,"3,51",2028,Физика,LMS
STU001741,Соколов Ольга Михайловна,2023,ВЫПУЩЕН,4.77,2027,Математика,LMS
STU001801,Петров Михаил Иванович,2022-11-19,graduated,"3,69",2026,Математика,DeanOffice
STU000547,Попов Иван Ивановна,05/21/2024,выпущен,3.51,2029,Информатика,LMS
STU000033,Козлов Мария Алексеевич,04.12.2022,выпущен,"4,80",2027,Информатика,1C
STU000516,Кузнецов Дарья Алексеевна,2024,выпущен,"3,19",2028,Математика,1C
STU000446,Соколов Алина Сергеевич,02/27/2023,выпущен,4.42,2028,Экономика,LMS
STU000587,Петров Алексей Алексеевна  ,2022,академ,"4,15",2028,Информатика,DeanOffice
STU000214,Попов Мария Алексеевна,11/13/2022,ОБУЧАЕТСЯ,"3,48",2026,Информатика,DeanOffice
STU001098,Лебедев Татьяна Дмитриевна,2020-03-09,отчислен,,2025,Физика,DeanOffice
STU000171,Соколов Алина Дмитриевич,2021,GRADUATED,4.38,2026,Информатика,LMS
STU000519,Лебедев Дарья Павлович,13.04.2023,выпущен,4.36,2029,История,DeanOffice
STU000775,Иванов Михаил Алексеевна,24.01.2021,обучается,"2,93",2026,Лингвистика,DeanOffice
STU000565,Козлов Михаил Иванович,05.02.2023,graduated,4.32,2028,История,LMS
STU001650,Смирнов Мария Сергеевна,27.07.2024,graduated,4.49,2028,Информатика,LMS
STU000419,Соколов Елена Дмитриевна,11/25/2024,отчислен,4.63,2030,Информатика,LMS
STU001811,Попов Елена Михайловна,05/08/2020,выпущен,3.63,2024,Менеджмент,DeanOffice
STU000648,Петров Виктория Павловна,02/10/2024,ОТЧИСЛЕН,4.48,2028,Математика,LMS
STU001894,Соколов Ольга Михайлович,01/07/2022,выпущен,,2028,Менеджмент,DeanOffice
STU000601,Иванов Мария Дмитриевич,2020-11-15,suspended,"4,07",2025,Менеджмент,1C
STU000782,Кузнецов Виктория Сергеевич,2020-07-17,GRADUATED,4.58,2025,Менеджмент,LMS
STU001749,Петров Виктория Дмитриевна,17.11.2021,ACTIVE,4.61,2027,Экономика,DeanOffice
STU000290,Попов Иван Павловна,03/14/2024,выпущен,3.29,2028,Физика,DeanOffice
STU000807,Соколов Алина Дмитриевич,2022,GRADUATED,4.82,2028,История,LMS
STU001289,Попов Анна Михайлович,02/08/2023,graduated,4.24,2028,Информатика,1C
STU002260,Козлов Михаил Михайловна,03.05.2024,выпущен,"4,65",2029,Экономика,1C
,Смирнов Никита Сергеевна  ,2023-11-24,отчислен,4.71,2028,Менеджмент,1C
STU000163,Смирнов Алексей Алексеевич,05.04.2024,suspended,3.26,2029,История,1C
STU000619,Лебедев Дарья Алексеевна,2024,выпущен,3.97,2030,Менеджмент,1C
STU002102,Кузнецов Михаил Алексеевна,01/19/2024,ВЫПУЩЕН,3.24,2028,Физика,DeanOffice
STU002065,Соколов Егор Михайловна,2020,выпущен,"3,90",2025,Лингвистика,DeanOffice
STU001098,Лебедев Татьяна Дмитриевна,2020-02-24,ВЫПУЩЕН,"3,77",2025,Физика,1C
STU000635,Лебедев Дарья Сергеевич,2024,выпущен,4.72,2029,Юриспруденция,1C
STU000815,Козлов Татьяна Алексеевна,2022,выпущен,"4,12",2026,Юриспруденция,DeanOffice
STU000065,Лебедев Михаил Сергеевна  ,10/20/2022,выпущен,3.98,2026,Юриспруденция,LMS
STU002303,Смирнов Анна Алексеевич,2024,обучается,"3,44",2030,Физика,LMS
STU001633,Попов Егор Алексеевич,01.10.2022,suspended,"4,15",2027,Информатика,DeanOffice
,Соколов Виктория Михайлович,08/08/2020,выпущен,"3,36",2026,Лингвистика,LMS
STU000580,Лебедев Дмитрий Ивановна,19.09.2020,выпущен,2.97,2025,Информатика,LMS
STU002260,Козлов Михаил Михайловна,01/02/2024,выпущен,4.50,2029,Математика,LMS
STU000991,Иванов Виктория Павлович,2023-05-24,отчислен,4.78,2029,Юриспруденция,DeanOffice
STU000579,Смирнов Елена Михайловна,2022,ВЫПУЩЕН,4.77,2026,Физика,DeanOffice
STU001507,Петров Дарья Алексеевна,10/20/2021,выпущен,3.75,2025,Информатика,DeanOffice
STU001208,Козлов Сергей Михайловна,02.09.2024,отчислен,3.71,2030,Лингвистика,DeanOffice
STU000883,Козлов Никита Павловна,2021-02-24,отчислен,3.93,2025,Физика,LMS
STU002257,Петров Мария Павлович  ,2023-01-03,ОТЧИСЛЕН,4.79,2029,Лингвистика,LMS
STU001748,Иванов Павел Сергеевич,11/02/2023,GRADUATED,,2028,Математика,1C
STU001427,Смирнов Дмитрий Дмитриевна,2024,ОТЧИСЛЕН,4.33,2029,Лингвистика,LMS
STU002067,Кузнецов Никита Алексеевич,22.10.2021,graduated,4.09,2025,История,LMS
,Попов Ольга Павлович,15.08.2024,отчислен,3.86,2028,Информатика,DeanOffice
STU000841,Петров Егор Михайловна  ,2024-07-18,выпущен,3.84,2029,Экономика,1C
STU001219,Петров Анна Павловна,09/26/2024,выпущен,3.91,2030,Информатика,DeanOffice
STU000394,Попов Егор Ивановна,13.10.2020,выпущен,"4,12",2025,Физика,1C
STU001673,Кузнецов Егор Иванович,20.01.2024,enrolled,4.27,2030,Юриспруденция,DeanOffice
STU001546,Лебедев Елена Алексеевич,2021-01-01,отчислен,3.97,2026,Физика,DeanOffice
STU001013,Козлов Дарья Павловна,2022-10-23,академ,3.84,2027,Экономика,DeanOffice
STU000881,Кузнецов Иван Ивановна,05.12.2024,академ,4.61,2030,Лингвистика,DeanOffice
,Иванов Елена Михайловна,2020-04-27,выпущен,3.60,2025,Физика,1C
STU000505,Кузнецов Мария Алексеевна,2023,выпущен,4.41,2029,Менеджмент,1C
STU002114,Лебедев Мария Ивановна  ,05.11.2023,академ,4.82,2028,Информатика,LMS
STU001406,Попов Дарья Павловна  ,2023-11-18,GRADUATED,3.20,2028,Физика,DeanOffice
STU002392,Лебедев Татьяна Сергеевич,12.10.2022,отчислен,,2028,Информатика,DeanOffice
STU000369,Лебедев Иван Алексеевна,2022-05-26,выпущен,3.28,2026,Физика,DeanOffice
STU001768,Соколов Алина Сергеевна,2023-01-01,ОБУЧАЕТСЯ,4.10,2027,История,1C
STU001855,Попов Павел Павловна,2020-08-11,suspended,"3,63",2025,История,DeanOffice
,Лебедев Дмитрий Сергеевна,2024,GRADUATED,"4,03",2028,Математика,LMS
STU000870,Соколов Дмитрий Михайловна,2020-07-16,отчислен,4.28,2025,Физика,LMS
STU002218,Кузнецов Никита Михайловна,03/08/2021,выпущен,3.40,2026,Лингвистика,1C
STU001482,Попов Сергей Алексеевич,12/25/2023,отчислен,3.89,2027,Экономика,1C
STU001165,Попов Мария Сергеевич,2022-10-11,Учится,"3,11",2028,Лингвистика,1C
STU001245,Соколов Сергей Дмитриевна,07.02.2020,ОТЧИСЛЕН,"4,47",2026,Математика,LMS
STU002016,Соколов Егор Алексеевна,14.08.2024,ОТЧИСЛЕН,4.66,2029,Экономика,LMS
STU000378,Попов Дмитрий Павловна,06/19/2023,отчислен,3.78,2027,Лингвистика,DeanOffice
STU001081,Попов Егор Сергеевна,06.06.2023,выпущен,"4,11",2029,Физика,LMS
STU000868,Кузнецов Сергей Иванович,2022,ВЫПУЩЕН,4.33,2026,Экономика,LMS
STU000808,Соколов Ольга Павловна  ,2023-09-15,выпущен,,2027,Менеджмент,DeanOffice
STU000820,Петров Михаил Михайловна,08.08.2020,graduated,4.31,2024,Информатика,DeanOffice
STU002239,Смирнов Сергей Иванович,2021-06-12,отчислен,"4,90",2026,Экономика,DeanOffice
STU001701,Попов Никита Алексеевна,02/20/2022,в академе,3.40,2028,Юриспруденция,1C
STU001861,Соколов Анна Алексеевич,11.02.2021,в академе,"3,62",2025,Информатика,DeanOffice
STU000406,Козлов Мария Дмитриевна,2020,отчислен,4.08,2025,Менеджмент,DeanOffice
STU000605,Попов Никита Михайлович,10.10.2022,suspended,"3,23",2026,Юриспруденция,LMS
STU001404,Петров Дарья Дмитриевич,11/09/2020,отчислен,3.32,2025,Экономика,1C
STU001021,Лебедев Елена Сергеевна,05.02.2020,выпущен,"3,69",2026,Математика,DeanOffice
STU000361,Соколов Егор Алексеевна  ,2023,отчислен,"3,92",2028,Информатика,LMS
STU000457,Попов Виктория Алексеевна,2023-06-11,выпущен,3.67,2028,История,LMS
STU001398,Попов Елена Алексеевна,08/11/2022,выпущен,3.23,2027,Математика,LMS
STU001422,Смирнов Никита Дмитриевич  ,13.01.2022,отчислен,4.66,2028,Экономика,LMS
STU001926,Козлов Егор Ивановна,02.05.2023,ОТЧИСЛЕН,"4,80",2028,История,DeanOffice
STU002129,Иванов Елена Сергеевич,23.08.2022,выпущен,3.52,2026,Лингвистика,1C
STU001387,Попов Ольга Дмитриевна,2020,обучается,3.50,2026,Юриспруденция,1C
STU001121,Лебедев Павел Дмитриевна,20.06.2024,выпущен,3.55,2029,Математика,LMS
STU001585,Козлов Иван Дмитриевич,11.11.2023,graduated,"4,21",2027,Информатика,LMS
STU002277,Соколов Мария Ивановна,2020-05-18,отчислен,4.86,2024,Юриспруденция,1C
STU001072,Иванов Алина Дмитриевич,2021,отчислен,4.88,2025,Лингвистика,DeanOffice
STU001841,Попов Алина Дмитриевич,2020,выпущен,4.73,2025,Менеджмент,DeanOffice
STU000416,Кузнецов Татьяна Михайлович,2020,ВЫПУЩЕН,3.46,2026,Математика,DeanOffice
STU001638,Попов Мария Иванович,09.12.2024,выпущен,4.03,2029,Экономика,LMS
STU001458,Козлов Анна Павлович,04/05/2022,ОБУЧАЕТСЯ,3.14,2026,Юриспруденция,1C
STU001430,Иванов Никита Алексеевна,2024-07-16,обучается,"3,70",2029,Математика,LMS
STU000657,Лебедев Анна Алексеевич,2020,выпущен,3.55,2025,Лингвистика,DeanOffice
STU000984,Попов Сергей Михайлович,2020-11-22,выпущен,4.94,2025,Менеджмент,DeanOffice
STU002085,Соколов Татьяна Сергеевич,02/21/2024,ВЫПУЩЕН,4.71,2030,Экономика,1C
STU002234,Смирнов Мария Ивановна,2020,выпущен,"4,83",2024,Лингвистика,LMS
STU000472,Козлов Елена Сергеевна,2022,отчислен,3.01,2027,Информатика,DeanOffice
STU000120,Петров Алина Дмитриевич,03/23/2020,выпущен,"4,87",2025,История,1C
STU000967,Козлов Сергей Михайлович,13.02.2024,ОТЧИСЛЕН,3.93,2029,Экономика,1C
STU000420,Попов Дарья Алексеевна,06/04/2020,выпущен,"3,24",2025,История,DeanOffice
STU002234,Смирнов Мария Ивановна  ,11/28/2020,выпущен,4.68,2024,История,1C
STU000171,Соколов Алина Дмитриевич,2021,выпущен,4.33,2026,Математика,1C
