UID,StudentName,Admission,Current Status,Score,Graduation,Department,is_budget,notes
STU002130,Иванов Ольга Сергеевич,01/19/2026,отчислен,"3,72",2031,Информатика,yes,
STU000059,Кузнецов Дарья Сергеевич,16.08.2028,академ,4.29,2032,Математика,no,
STU000501,Смирнов Мария Дмитриевна,2026,Учится,"4,39",2030,Лингвистика,yes,manual_fix
STU000349,Соколов Никита Алексеевич,12/20/2027,отчислен,"4,67",2031,Юриспруденция,no,
STU000824,Смирнов Иван Дмитриевич,2030,ACTIVE,3.53,2034,Математика,yes,reimport
STU002274,Петров Дарья Алексеевич,04/25/2025,обучается,"4,39",2029,История,yes,reimport
STU001949,Лебедев Павел Михайловна,10/03/2027,отчислен,3.18,2033,Лингвистика,yes,manual_fix
STU001358,Смирнов Татьяна Алексеевич,09/23/2029,обучается,3.77,2034,Информатика,yes,manual_fix
STU002146,Петров Сергей Дмитриевна,2025-02-22,ACTIVE,"3,62",2031,Информатика,no,
STU000206,Иванов Дмитрий Иванович,2028,обучается,4.57,2034,Менеджмент,no,
STU002035,Смирнов Анна Алексеевна,2028,Учится,"3,60",2032,Физика,no,
STU002364,Попов Егор Павлович,01/06/2030,в академе,"2,97",2034,Экономика,no,
STU001608,Смирнов Егор Ивановна,14.06.2030,обучается,3.32,2034,Менеджмент,no,
STU001786,Петров Дмитрий Алексеевич,11/05/2030,обучается,"3,69",2034,Менеджмент,no,
STU002364,Попов Егор Павлович,2030-08-06,в академе,"3,11",2034,Информатика,no,
STU002300,Смирнов Татьяна Михайлович,15.04.2028,Учится,4.47,2033,История,yes,
STU001968,Смирнов Иван Михайловна,2030-07-03,graduated,4.17,2034,Экономика,yes,manual_fix
STU001969,Соколов Никита Алексеевна,28.11.2028,в академе,"4,88",2032,Менеджмент,no,
STU001336,Соколов Мария Павловна,13.01.2027,обучается,"3,34",2032,Математика,yes,
STU001574,Попов Дмитрий Дмитриевич,09/14/2029,обучается,"4,96",2033,История,no,
STU000195,Иванов Дарья Павловна,12.04.2027,обучается,"3,87",2032,Юриспруденция,yes,manual_fix
STU000321,Петров Ольга Михайлович,2026-12-16,выпущен,"4,01",2031,Математика,no,
,Соколов Павел Алексеевна,2027,выпущен,5.00,2033,Информатика,yes,reimport
STU001608,Смирнов Егор Ивановна,10.03.2030,обучается,3.78,2034,Математика,no,reimport
STU000953,Кузнецов Сергей Павловна,11/07/2026,обучается,4.30,2030,Физика,yes,
STU002192,Соколов Егор Дмитриевна,03/07/2027,отчислен,2.86,2031,Лингвистика,yes,reimport
,Попов Елена Иванович,2025-12-28,Учится,4.00,2031,Лингвистика,no,
STU000460,Соколов Ольга Михайлович,23.12.2026,Учится,"3,84",2031,Менеджмент,yes,reimport
STU002000,Кузнецов Виктория Михайловна,2029-09-16,Учится,"3,76",2034,Менеджмент,yes,
STU000388,Козлов Егор Павловна,08/27/2026,graduated,"4,26",2032,Физика,no,
STU000473,Козлов Иван Михайлович,2028,ACTIVE,4.34,2034,Юриспруденция,yes,
STU001912,Лебедев Алексей Дмитриевич,2026-10-04,обучается,"2,85",2030,История,yes,reimport
STU000722,Смирнов Дмитрий Ивановна,2028,ACTIVE,"3,43",2033,Менеджмент,yes,reimport
STU001272,Петров Никита Сергеевич,2026-09-19,отчислен,4.01,2031,Лингвистика,yes,manual_fix
STU000692,Кузнецов Анна Алексеевич,2029-07-17,Учится,3.54,2033,Математика,yes,manual_fix
STU001261,Смирнов Мария Михайлович,2030,Учится,4.70,2034,Менеджмент,no,reimport
STU001946,Смирнов Павел Павлович,23.01.2025,обучается,"3,83",2030,Физика,no,reimport
STU000317,Иванов Сергей Сергеевна,15.02.2025,обучается,"3,47",2029,Экономика,no,manual_fix
STU002159,Попов Никита Павловна,2028-12-05,обучается,3.72,2033,Информатика,no,
STU000686,Смирнов Виктория Михайлович,2028,Учится,"4,66",2033,Физика,no,
STU001997,Попов Никита Михайлович,2026-12-22,отчислен,"4,94",2032,История,no,manual_fix
STU002000,Кузнецов Виктория Михайловна,2029,Учится,3.70,2034,Информатика,yes,reimport
STU001356,Козлов Ольга Сергеевич,04/18/2028,обучается,,2033,Менеджмент,yes,
STU001860,Смирнов Анна Дмитриевич,2029-06-03,обучается,3.44,2033,Юриспруденция,yes,
STU001324,Смирнов Татьяна Михайловна,06/28/2027,suspended,5.00,2031,Лингвистика,yes,
