ID студента,ФИО,Год поступления,Статус,Средний балл,Год выпуска,Город,Комментарий
STU001326,Смирнов Никита Ивановна,2017-10-16,выпущен,3.50,2022,Томск,академ отпуск
STU000571,Лебедев Никита Дмитриевна,24.05.2018,graduated,3.57,2024,Новосибирск,академ отпуск
STU001771,Попов Татьяна Алексеевна,2017,выпущен,"4,16",2021,СПб,повтор
STU001071,Попов Виктория Сергеевич,2020,выпущен,4.40,2024,Казань,повтор
STU002200,Попов Павел Михайлович,2016,выпущен,4.17,2021,Екатеринбург,
STU000140,Петров Виктория Алексеевна,18.11.2019,graduated,4.97,2023,Казань,
STU001859,Соколов Мария Павлович,27.05.2017,отчислен,"4,27",2022,Томск,перевод
STU000157,Соколов Алина Алексеевич,2019,обучается,4.65,2025,Казань,академ отпуск
STU002024,Попов Иван Дмитриевич,2018,выпущен,"4,10",2023,Казань,перевод
STU001194,Лебедев Алексей Дмитриевна,03/23/2020,выпущен,4.41,2025,Казань,перевод
STU001548,Иванов Ольга Алексеевич,2018,graduated,3.47,2022,Новосибирск,
,Козлов Елена Сергеевна,04/26/2017,graduated,3.42,2021,Екатеринбург,академ отпуск
STU001771,Попов Татьяна Алексеевна,02.12.2017,обучается,3.96,2021,Казань,
STU000952,Иванов Елена Михайлович,23.03.2017,выпущен,"3,23",2022,Москва,
STU001629,Кузнецов Алина Михайлович,09/04/2018,graduated,3.21,2024,Екатеринбург,повтор
STU000997,Козлов Алексей Дмитриевна,04/09/2019,отчислен,4.25,2023,Москва,
STU000599,Лебедев Татьяна Сергеевна,2019,выпущен,5.00,2025,Москва,перевод
STU000820,Петров Михаил Михайловна,2020,выпущен,"3,81",2024,Москва,
STU000436,Козлов Ольга Алексеевич,2017,ACTIVE,"4,27",2022,Екатеринбург,перевод
STU001689,Попов Егор Алексеевна,2017-12-17,Учится,,2023,СПб,повтор
STU001109,Попов Михаил Иванович,06.12.2020,graduated,"3,37",2025,Екатеринбург,академ отпуск
STU001237,Кузнецов Анна Алексеевна,08/17/2017,выпущен,"3,60",2023,Москва,повтор
STU001872,Соколов Анна Павлович,2016-01-22,выпущен,4.49,2022,СПб,
STU002138,Соколов Татьяна Сергеевна,10/25/2020,выпущен,3.54,2026,Новосибирск,
,Попов Анна Михайловна,2019-05-24,graduated,"4,68",2023,СПб,
STU000600,Попов Михаил Алексеевна,16.03.2019,ACTIVE,3.44,2024,Москва,
STU002367,Козлов Павел Дмитриевич,2019-10-27,в академе,"4,75",2025,Новосибирск,перевод
,Петров Никита Сергеевна,2019-12-17,выпущен,"4,66",2023,СПб,повтор
STU002240,Иванов Павел Дмитриевич,2019,в академе,3.33,2025,Екатеринбург,повтор
STU000251,Смирнов Иван Дмитриевна,05/22/2020,выпущен,4.48,2024,Екатеринбург,
STU000594,Попов Алина Сергеевна,2019-02-05,suspended,4.41,2023,СПб,перевод
STU001052,Смирнов Дарья Дмитриевич,2020,выпущен,4.06,2026,Томск,
STU000436,Козлов Ольга Алексеевич,2017,graduated,4.17,2022,Томск,академ отпуск
STU002099,Кузнецов Егор Сергеевна,03/07/2017,отчислен,"2,82",2021,Екатеринбург,
STU000222,Петров Михаил Алексеевич,02/20/2018,выпущен,4.22,2024,Казань,перевод
STU001718,Кузнецов Алина Ивановна,05/26/2020,выпущен,4.56,2026,Казань,академ отпуск
STU001264,Козлов Ольга Ивановна,2016-02-18,отчислен,3.85,2021,Томск,
STU001886,Кузнецов Дарья Павловна,2018-06-06,выпущен,,2024,Новосибирск,академ отпуск
STU000351,Соколов Сергей Павловна,2020,выпущен,3.17,2024,Екатеринбург,перевод
STU000104,Кузнецов Сергей Сергеевна,2017,выпущен,4.92,2022,СПб,перевод
STU000914,Кузнецов Дмитрий Алексеевич,2019,выпущен,"3,36",2025,Томск,академ отпуск
STU001756,Кузнецов Иван Павлович,21.04.2016,обучается,3.84,2020,Москва,перевод
STU000227,Соколов Анна Иванович,2020,обучается,3.38,2024,Москва,
STU000608,Козлов Алина Иванович,09/21/2016,выпущен,4.51,2020,Казань,
STU000016,Попов Дарья Дмитриевич,07/21/2018,выпущен,3.67,2023,Казань,перевод
STU001831,Смирнов Михаил Павловна,2017-03-14,выпущен,"4,46",2023,Екатеринбург,академ отпуск
STU002050,Петров Анна Павлович,13.06.2017,обучается,4.54,2022,Томск,академ отпуск
STU002045,Козлов Никита Михайловна,2017-12-25,ACTIVE,"4,37",2022,Томск,академ отпуск
STU000300,Смирнов Иван Павлович,13.08.2019,отчислен,"3,90",2023,Казань,
STU001573,Петров Сергей Михайлович,2019,отчислен,"3,52",2025,Екатеринбург,перевод
STU000929,Иванов Михаил Дмитриевна,03.02.2018,выпущен,3.18,2022,Казань,академ отпуск
STU001245,Соколов Сергей Дмитриевна,2020-02-23,выпущен,"3,91",2026,СПб,
STU001035,Кузнецов Никита Павлович,12/25/2018,выпущен,3.16,2022,Казань,академ отпуск
STU001305,Попов Иван Алексеевич,26.03.2018,graduated,"3,54",2024,Казань,повтор
STU000741,Петров Дарья Дмитриевна,16.07.2017,выпущен,"4,25",2022,СПб,перевод
STU002001,Кузнецов Михаил Алексеевна,27.05.2017,выпущен,4.23,2022,СПб,повтор
STU002174,Кузнецов Михаил Сергеевна,2019,в академе,,2025,Москва,
STU001048,Козлов Виктория Михайловна,2019,выпущен,3.55,2024,Томск,академ отпуск
STU002229,Иванов Дмитрий Иванович,2020-09-18,выпущен,3.54,2025,Екатеринбург,повтор
STU001588,Попов Виктория Сергеевич,06.10.2018,академ,"4,20",2023,Новосибирск,
,Козлов Павел Сергеевна,2020,Учится,4.59,2025,Новосибирск,перевод
STU000051,Попов Татьяна Дмитриевич,2017,выпущен,4.26,2023,СПб,повтор
STU001089,Попов Сергей Сергеевна,09/28/2019,выпущен,4.01,2023,Екатеринбург,повтор
STU001549,Смирнов Мария Сергеевна,10/04/2017,отчислен,,2021,Казань,академ отпуск
STU000995,Кузнецов Татьяна Алексеевич,08.08.2017,ACTIVE,"3,95",2022,Томск,
STU002329,Смирнов Мария Павлович,2018-04-10,выпущен,3.81,2022,Екатеринбург,перевод
STU001864,Петров Иван Михайловна,10/25/2018,выпущен,4.76,2023,Екатеринбург,повтор
STU000257,Козлов Павел Михайлович,06.08.2019,академ,3.30,2024,Новосибирск,
STU000644,Смирнов Анна Иванович,2017,обучается,,2021,СПб,повтор
,Иванов Никита Павловна,10.06.2020,выпущен,"3,48",2025,Екатеринбург,академ отпуск
STU002269,Соколов Анна Алексеевна,10/07/2017,выпущен,4.97,2022,Москва,
STU001202,Смирнов Алексей Алексеевна,28.11.2020,отчислен,3.49,2024,СПб,академ отпуск
STU000764,Попов Анна Михайловна,2019,отчислен,4.73,2023,Екатеринбург,повтор
STU000028,Попов Павел Павловна,2019,в академе,,2023,Екатеринбург,перевод
STU001621,Козлов Алексей Алексеевна,2017,выпущен,3.76,2023,Томск,
STU000118,Соколов Егор Михайлович,2017-11-13,выпущен,4.35,2022,Екатеринбург,повтор
STU002003,Попов Татьяна Павловна,2016,выпущен,5.00,2021,Томск,
STU000045,Петров Сергей Сергеевич,2020-11-24,graduated,,2025,Екатеринбург,перевод
STU002393,Козлов Егор Дмитриевич,2016-04-16,обучается,4.39,2020,Москва,повтор
STU002248,Лебедев Егор Павлович,2018,выпущен,4.89,2022,Казань,академ отпуск
STU001186,Лебедев Никита Дмитриевна,2018,выпущен,4.56,2024,Москва,
STU000671,Петров Егор Михайлович,2019-06-19,обучается,3.67,2024,Екатеринбург,перевод
STU000420,Попов Дарья Алексеевна,2020-08-16,отчислен,3.24,2025,СПб,
STU002329,Смирнов Мария Павлович,12.06.2018,выпущен,"3,80",2022,Томск,повтор
STU000712,Козлов Никита Сергеевна,2019,выпущен,3.60,2025,Казань,перевод
STU000774,Кузнецов Павел Павловна,27.01.2019,выпущен,3.78,2023,СПб,
STU001547,Лебедев Михаил Михайловна,2016,отчислен,4.32,2021,Томск,перевод
STU001246,Козлов Татьяна Сергеевич,22.12.2016,graduated,"4,25",2021,Томск,
STU000804,Кузнецов Анна Алексеевна,2019-06-12,enrolled,"2,89",2024,СПб,повтор
STU000534,Петров Мария Алексеевич,2019,выпущен,4.87,2025,Новосибирск,
STU000301,Кузнецов Никита Сергеевич,11/11/2020,Учится,"3,77",2026,Новосибирск,повтор
STU001196,Кузнецов Михаил Сергеевич,27.01.2020,отчислен,4.66,2025,Томск,академ отпуск
STU000821,Козлов Елена Дмитриевич,09/13/2020,отчислен,"3,72",2026,СПб,
STU000990,Лебедев Дарья Павлович,02/09/2019,отчислен,4.51,2023,СПб,
STU001842,Попов Ольга Дмитриевич,01/01/2018,выпущен,"3,72",2023,Москва,
,Соколов Алексей Павлович,11/16/2019,отчислен,3.57,2023,СПб,повтор
STU000891,Иванов Дарья Иванович,2018,выпущен,,2024,Екатеринбург,
STU000751,Лебедев Елена Дмитриевна,2018,graduated,"5,00",2022,СПб,
STU001872,Соколов Анна Павлович,04/23/2016,отчислен,4.23,2022,Новосибирск,повтор
,Петров Елена Михайлович,19.12.2017,graduated,3.94,2021,Екатеринбург,академ отпуск
,Попов Сергей Павловна,12.08.2016,выпущен,"3,66",2020,Москва,академ отпуск
STU001604,Петров Сергей Алексеевич,2019,выпущен,"4,72",2024,Москва,академ отпуск
STU001139,Кузнецов Татьяна Иванович,2018-02-20,выпущен,"4,61",2024,СПб,академ отпуск
STU000621,Попов Михаил Ивановна,11.10.2019,enrolled,4.03,2024,СПб,академ отпуск
STU000489,Козлов Павел Дмитриевич,08/09/2016,выпущен,"3,83",2021,Казань,перевод
STU000654,Иванов Сергей Дмитриевич,10.08.2017,выпущен,4.44,2022,Екатеринбург,перевод
STU000837,Козлов Виктория Алексеевна,2016,graduated,4.03,2020,Екатеринбург,повтор
STU002242,Козлов Павел Сергеевна,06.12.2019,graduated,"4,40",2025,Новосибирск,повтор
STU000710,Петров Никита Иванович,2019,выпущен,3.26,2025,Казань,академ отпуск
,Козлов Ольга Дмитриевна,02.09.2019,выпущен,"4,60",2025,СПб,перевод
STU001822,Смирнов Татьяна Алексеевна,2018-09-12,выпущен,"4,41",2022,Новосибирск,академ отпуск
STU000758,Смирнов Алексей Дмитриевна,17.07.2018,graduated,3.13,2024,Екатеринбург,
STU000827,Иванов Егор Павловна,03.07.2020,отчислен,"4,71",2026,СПб,перевод
STU002045,Козлов Никита Михайловна,2017-04-02,graduated,"4,14",2022,СПб,академ отпуск
,Смирнов Татьяна Алексеевна,22.08.2018,graduated,"4,36",2022,СПб,
STU000513,Лебедев Алексей Михайлович,2018-09-14,выпущен,3.24,2024,Томск,повтор
STU001063,Соколов Елена Дмитриевна,2020,graduated,5.00,2025,Екатеринбург,
STU002357,Козлов Татьяна Сергеевна,2017,отчислен,,2022,СПб,повтор
STU001134,Иванов Виктория Иванович,19.06.2017,graduated,"3,74",2022,Казань,
STU000770,Козлов Иван Иванович,2019-12-09,выпущен,3.09,2025,СПб,академ отпуск
STU000939,Петров Виктория Михайловна,19.11.2016,выпущен,4.95,2021,Казань,
,Лебедев Михаил Павлович,2016-08-06,отчислен,3.29,2021,СПб,повтор
STU000327,Петров Татьяна Павлович,03.02.2019,выпущен,"3,75",2025,СПб,перевод
STU001972,Смирнов Михаил Дмитриевна,05.07.2020,выпущен,2.92,2026,Москва,
STU000581,Смирнов Михаил Дмитриевич,2016,отчислен,"3,39",2022,Москва,повтор
STU001023,Козлов Иван Дмитриевич,2016-03-09,выпущен,4.07,2020,Казань,повтор
STU001876,Соколов Дарья Иванович,10/21/2016,выпущен,"3,49",2022,Екатеринбург,академ отпуск
STU000870,Соколов Дмитрий Михайловна,01.07.2020,graduated,,2025,Казань,
STU000513,Лебедев Алексей Михайлович,2018,отчислен,,2024,Томск,
STU002172,Смирнов Дмитрий Павловна,2020,отчислен,4.58,2025,Москва,
STU001886,Кузнецов Дарья Павловна,2018,graduated,3.88,2024,СПб,академ отпуск
,Кузнецов Дмитрий Павлович,12/12/2018,выпущен,4.37,2022,Москва,
STU001578,Иванов Алексей Павловна,2016,отчислен,"3,86",2022,Томск,повтор
STU002329,Смирнов Мария Павлович,2018,отчислен,,2022,Казань,перевод
STU001939,Иванов Алексей Сергеевич,2020,graduated,"4,47",2026,Новосибирск,перевод
STU000712,Козлов Никита Сергеевна,2019,выпущен,,2025,Томск,перевод
STU001321,Кузнецов Виктория Михайлович,2019,выпущен,,2023,Новосибирск,
STU000232,Кузнецов Анна Сергеевич,04.08.2017,отчислен,3.72,2022,Томск,
STU000118,Соколов Егор Михайлович,02/08/2017,graduated,"4,04",2022,Казань,перевод
STU000766,Петров Мария Дмитриевна,21.01.2017,отчислен,"4,70",2022,Казань,повтор
STU001487,Лебедев Елена Павлович,2016,выпущен,"4,46",2022,Екатеринбург,академ отпуск
STU001486,Козлов Алина Павлович,2020,enrolled,3.61,2026,СПб,
STU002231,Козлов Иван Дмитриевна,2016,в академе,3.34,2021,Екатеринбург,
STU000104,Кузнецов Сергей Сергеевна,19.08.2017,выпущен,"4,72",2022,Москва,
STU001393,Кузнецов Алина Михайловна,2016-10-10,enrolled,"3,96",2021,Екатеринбург,
STU002039,Лебедев Михаил Сергеевна,17.06.2016,отчислен,3.61,2020,Казань,перевод
STU000805,Соколов Дарья Михайлович,25.10.2016,выпущен,3.75,2020,Казань,
STU001679,Соколов Дарья Сергеевна,15.01.2016,выпущен,3.74,2022,Казань,перевод
STU002099,Кузнецов Егор Сергеевна,01/13/2017,в академе,3.00,2021,Казань,академ отпуск
STU000820,Петров Михаил Михайловна,12/18/2020,отчислен,"4,29",2024,Екатеринбург,
STU002156,Петров Иван Дмитриевна,2017-02-18,отчислен,,2022,Екатеринбург,академ отпуск
STU002383,Кузнецов Павел Павлович,12/06/2020,выпущен,4.04,2024,Томск,академ отпуск
STU002050,Петров Анна Павлович,10/01/2017,выпущен,4.40,2022,Томск,
STU000440,Козлов Анна Михайлович,2020,Учится,4.34,2025,СПб,повтор
STU002138,Соколов Татьяна Сергеевна,2020-09-21,выпущен,3.35,2026,Томск,
STU002070,Иванов Алина Алексеевич,2018-12-21,Учится,"3,75",2023,Екатеринбург,
STU000002,Смирнов Иван Сергеевич,2016-07-17,в академе,4.61,2022,Москва,перевод
STU001868,Соколов Ольга Дмитриевич,2017,выпущен,3.31,2021,Новосибирск,академ отпуск
STU002048,Козлов Павел Сергеевна,2020-08-26,отчислен,"4,75",2025,Новосибирск,перевод
STU000560,Смирнов Дарья Павлович,2018,enrolled,"4,25",2023,Томск,академ отпуск
STU002288,Смирнов Иван Дмитриевна,2019,graduated,"4,57",2023,Новосибирск,
STU000028,Попов Павел Павловна,13.05.2019,отчислен,4.56,2023,СПб,
STU000098,Лебедев Михаил Дмитриевна,05/21/2020,выпущен,3.69,2025,Екатеринбург,
STU002328,Иванов Павел Алексеевич,17.05.2016,ACTIVE,4.24,2021,Новосибирск,перевод
STU001288,Лебедев Ольга Павлович,2017,graduated,4.35,2021,Москва,перевод
STU001738,Соколов Алексей Алексеевна,27.02.2018,выпущен,3.79,2024,Казань,повтор
STU001396,Попов Ольга Сергеевич,04.11.2018,Учится,3.68,2022,СПб,
STU000437,Козлов Елена Михайловна,2019-05-09,отчислен,3.27,2025,Новосибирск,повтор
STU001480,Лебедев Алина Алексеевич,2017-06-07,выпущен,"4,74",2021,Москва,
STU000276,Смирнов Виктория Сергеевич,2019-06-23,выпущен,3.95,2023,Новосибирск,
STU000058,Попов Павел Михайлович,2020,выпущен,"4,55",2025,Новосибирск,
STU001938,Петров Дарья Павловна,18.06.2018,выпущен,4.94,2024,Екатеринбург,повтор
STU000045,Петров Сергей Сергеевич,2020-08-01,отчислен,"4,34",2025,СПб,повтор
STU001186,Лебедев Никита Дмитриевна,05/02/2018,graduated,"4,99",2024,Томск,академ отпуск
,Иванов Павел Дмитриевна,2019,отчислен,"4,21",2024,Москва,
STU000575,Соколов Егор Ивановна,11/07/2017,выпущен,"4,06",2022,СПб,
STU001764,Иванов Алина Михайловна,2020,выпущен,3.50,2026,Екатеринбург,перевод
STU002286,Соколов Иван Алексеевна,2020,graduated,3.04,2024,Томск,перевод
STU001090,Петров Алексей Павлович,28.04.2020,выпущен,2.84,2024,Москва,перевод
STU002265,Смирнов Егор Сергеевна,03/14/2017,graduated,3.76,2023,Новосибирск,повтор
STU002064,Петров Дмитрий Дмитриевич,2019,enrolled,,2024,Москва,
STU000644,Смирнов Анна Иванович,16.12.2017,выпущен,5.00,2021,Новосибирск,
,Смирнов Иван Михайлович,2020,выпущен,3.23,2024,Казань,
STU000571,Лебедев Никита Дмитриевна,2018,выпущен,"3,33",2024,СПб,
STU001679,Соколов Дарья Сергеевна,14.10.2016,отчислен,"3,40",2022,Томск,повтор
STU000024,Иванов Анна Сергеевич,2017-02-07,выпущен,4.01,2023,Казань,перевод
STU001751,Попов Иван Иванович,12/17/2020,graduated,"3,96",2026,Екатеринбург,перевод
STU000173,Кузнецов Алина Павловна,05.03.2018,graduated,4.08,2024,СПб,
STU000660,Козлов Алексей Павловна,2020-12-19,выпущен,,2024,СПб,
STU000581,Смирнов Михаил Дмитриевич,27.01.2016,отчислен,3.02,2022,Томск,
STU001771,Попов Татьяна Алексеевна,2017,выпущен,3.99,2021,Казань,перевод
STU001514,Лебедев Сергей Дмитриевна,06/26/2019,выпущен,4.05,2025,Томск,
STU000623,Петров Ольга Дмитриевич,2017,выпущен,"4,21",2022,СПб,
,Смирнов Алексей Сергеевич,04/18/2017,suspended,3.30,2022,Москва,
STU001170,Лебедев Алексей Павлович,2020-09-04,выпущен,4.40,2026,Новосибирск,повтор
STU000458,Козлов Дарья Дмитриевич,21.03.2017,выпущен,4.52,2023,Томск,
STU000035,Петров Сергей Дмитриевна,17.03.2019,отчислен,"4,07",2025,Екатеринбург,академ отпуск
STU001023,Козлов Иван Дмитриевич,09/27/2016,выпущен,"3,77",2020,СПб,перевод
STU000285,Смирнов Елена Дмитриевна,2019-04-13,выпущен,3.23,2025,Томск,
STU001264,Козлов Ольга Ивановна,08.10.2016,выпущен,3.74,2021,СПб,
STU000707,Соколов Михаил Дмитриевна,2019,выпущен,4.04,2024,Томск,повтор
STU000743,Петров Сергей Павлович,2017,выпущен,"4,57",2022,Москва,перевод
STU000375,Соколов Никита Сергеевна,14.12.2018,выпущен,3.23,2022,Екатеринбург,академ отпуск
,Лебедев Татьяна Дмитриевна,17.08.2020,выпущен,"3,19",2025,СПб,повтор
STU000720,Козлов Мария Михайлович,11/27/2019,отчислен,4.31,2023,Новосибирск,перевод
STU000743,Петров Сергей Павлович,10/20/2017,graduated,4.39,2022,Екатеринбург,
STU000907,Попов Алексей Михайлович,2019,отчислен,"4,46",2023,СПб,
STU002139,Лебедев Иван Дмитриевич,28.09.2017,выпущен,"3,84",2023,Томск,
STU002315,Смирнов Сергей Павловна,07/27/2017,ACTIVE,3.89,2021,Казань,академ отпуск
STU000157,Соколов Алина Алексеевич,2019-09-25,выпущен,"4,47",2025,Москва,академ отпуск
STU000384,Козлов Елена Павловна,06/27/2018,выпущен,4.99,2024,СПб,академ отпуск
STU002265,Смирнов Егор Сергеевна,2017,в академе,"3,40",2023,Екатеринбург,
STU001176,Лебедев Сергей Павлович,03/22/2016,enrolled,"4,48",2021,Томск,
STU000277,Кузнецов Павел Алексеевна,2016-08-02,Учится,"4,26",2021,СПб,
STU001008,Попов Никита Сергеевич,2019-09-13,suspended,4.34,2024,Новосибирск,перевод
STU001089,Попов Сергей Сергеевна,2019-06-11,graduated,3.78,2023,СПб,академ отпуск
STU000580,Лебедев Дмитрий Ивановна,06/20/2020,graduated,"3,27",2025,СПб,
STU000155,Соколов Дмитрий Иванович,2019,выпущен,"4,37",2023,Екатеринбург,академ отпуск
STU000835,Козлов Алина Ивановна,05/15/2019,выпущен,"4,67",2023,Томск,
STU000300,Смирнов Иван Павлович,2019-06-17,в академе,4.06,2023,Москва,
STU002119,Смирнов Дмитрий Дмитриевна,24.12.2019,выпущен,3.07,2023,Казань,
STU001723,Иванов Татьяна Павловна,2020-07-10,выпущен,"4,13",2026,Екатеринбург,
STU002066,Козлов Алексей Сергеевич,2017,выпущен,3.58,2022,Москва,
STU000155,Соколов Дмитрий Иванович,2019-10-18,выпущен,"4,58",2023,Томск,
STU001134,Иванов Виктория Иванович,10/09/2017,Учится,"3,70",2022,Новосибирск,перевод
STU000737,Соколов Ольга Ивановна,2016-12-26,graduated,3.60,2022,Томск,перевод
STU001990,Лебедев Мария Михайловна,2017-01-25,отчислен,"4,44",2021,Новосибирск,повтор
STU000172,Иванов Анна Алексеевна,2018,Учится,"4,71",2023,Казань,
STU001962,Кузнецов Никита Алексеевич,26.09.2017,выпущен,4.12,2022,Новосибирск,
STU002095,Смирнов Дарья Павловна,2020-05-08,отчислен,3.60,2026,Москва,академ отпуск
,Кузнецов Михаил Михайловна,10.05.2019,ACTIVE,4.34,2025,СПб,
STU001339,Соколов Дарья Иванович,2016,suspended,4.95,2020,Казань,
STU000872,Лебедев Егор Алексеевна,13.08.2020,graduated,"4,20",2025,Екатеринбург,академ отпуск
STU002393,Козлов Егор Дмитриевич,2016,выпущен,4.27,2020,Екатеринбург,
STU001393,Кузнецов Алина Михайловна,26.07.2016,обучается,"3,99",2021,Новосибирск,
,Иванов Анна Дмитриевна,2018,отчислен,3.05,2023,Казань,академ отпуск
STU001098,Лебедев Татьяна Дмитриевна,2020-02-22,выпущен,3.29,2025,СПб,перевод
STU000440,Козлов Анна Михайлович,12/18/2020,выпущен,4.38,2025,Казань,академ отпуск
STU001354,Кузнецов Сергей Сергеевич,2017-09-04,graduated,4.94,2023,СПб,перевод
STU001441,Петров Егор Михайловна,2020-08-04,suspended,4.68,2024,Казань,перевод
STU000690,Козлов Ольга Иванович,25.05.2020,ACTIVE,"4,62",2024,Екатеринбург,перевод
STU000273,Соколов Михаил Алексеевич,2016,выпущен,3.52,2020,Новосибирск,академ отпуск
STU002337,Козлов Татьяна Сергеевич,02.09.2019,выпущен,4.80,2024,Томск,
STU001716,Соколов Павел Сергеевна,2017,выпущен,,2022,Екатеринбург,
STU000379,Лебедев Виктория Павловна,2020-05-03,Учится,"5,00",2026,Москва,академ отпуск
STU001224,Соколов Ольга Алексеевна,2020,отчислен,3.83,2025,Томск,
,Попов Алина Ивановна,05/14/2017,выпущен,4.64,2022,Москва,перевод
STU002323,Попов Татьяна Дмитриевич,2016-04-01,отчислен,3.03,2021,Новосибирск,
STU001933,Смирнов Виктория Михайловна,2017-05-06,suspended,3.61,2023,СПб,повтор
STU000416,Кузнецов Татьяна Михайлович,2020-02-11,выпущен,3.22,2026,Новосибирск,повтор
STU000127,Кузнецов Сергей Михайловна,2019,Учится,3.71,2024,Томск,
STU001817,Лебедев Анна Алексеевич,2016,выпущен,3.38,2021,Москва,перевод
STU001450,Попов Татьяна Павловна,04/09/2016,graduated,4.17,2020,Казань,перевод
STU001287,Иванов Никита Павловна,2020,выпущен,3.27,2025,Москва,повтор
,Лебедев Егор Павловна,2017-02-15,обучается,"4,09",2023,СПб,
STU000708,Козлов Сергей Алексеевич,2017,выпущен,"4,46",2021,Москва,повтор
STU001738,Соколов Алексей Алексеевна,2018,suspended,3.78,2024,Москва,
STU000311,Козлов Елена Иванович,22.12.2019,академ,3.04,2025,Москва,
STU002329,Смирнов Мария Павлович,01.12.2018,graduated,3.57,2022,Новосибирск,перевод
STU000194,Козлов Виктория Дмитриевна,22.05.2016,обучается,4.96,2021,Казань,повтор
,Кузнецов Дмитрий Павловна,05/01/2019,выпущен,3.22,2023,Новосибирск,
STU001833,Лебедев Анна Михайлович,2020-11-22,в академе,"3,94",2025,Екатеринбург,повтор
STU001789,Иванов Елена Ивановна,01.01.2018,выпущен,4.75,2022,Казань,перевод
STU001594,Козлов Елена Алексеевич,2020-12-03,graduated,3.38,2024,СПб,академ отпуск
STU001030,Кузнецов Никита Дмитриевич,04/03/2018,отчислен,3.04,2024,Томск,академ отпуск
STU001440,Иванов Павел Павловна,2017,отчислен,3.09,2023,Екатеринбург,
STU002140,Попов Егор Михайловна,2018,отчислен,4.00,2024,Томск,перевод
STU001495,Иванов Анна Павлович,15.08.2018,выпущен,"3,17",2022,Москва,
STU002200,Попов Павел Михайлович,26.09.2016,выпущен,"4,44",2021,Томск,академ отпуск
STU000974,Петров Алина Сергеевич,04/04/2019,выпущен,4.55,2023,Казань,повтор
STU002207,Смирнов Егор Дмитриевич,22.09.2019,graduated,"4,28",2024,СПб,
STU002296,Петров Сергей Павловна,2016-11-22,выпущен,"4,44",2020,Москва,повтор
